                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.71838,                 1.3278,                0.80382,                0.66193,                0.40385,                0.63919,                0.47162,                 1.0841,                 5.1836,                 0.8282,             6.0119e-05,             6.0119e-05,             6.0119e-05
                     61,                0.69117,                 1.2962,                0.79991,                0.65823,                0.40385,                0.63616,                 0.4824,                 1.0925,                 5.0972,                0.83178,             5.7483e-05,             5.7483e-05,             5.7483e-05
                     62,                0.68601,                 1.2891,                0.80004,                0.47598,                0.66793,                0.67541,                0.51986,                 1.0232,                 4.7956,                0.82293,             5.4847e-05,             5.4847e-05,             5.4847e-05
                     63,                0.69813,                 1.2943,                0.80073,                0.45997,                0.56391,                0.66032,                0.49898,                 1.0879,                 4.9389,                0.82891,             5.2212e-05,             5.2212e-05,             5.2212e-05
                     64,                0.68461,                 1.2372,                0.80678,                0.69425,                0.40385,                0.63096,                0.48868,                 1.1399,                 5.1197,                0.83883,             4.9576e-05,             4.9576e-05,             4.9576e-05
                     65,                0.71244,                 1.3377,                0.80006,                0.71356,                0.40385,                0.63472,                0.47912,                   1.04,                 4.9945,                0.83043,              4.694e-05,              4.694e-05,              4.694e-05
                     66,                0.68795,                  1.248,                0.79723,                0.74215,                0.40385,                0.64426,                0.48869,                 1.0389,                  4.909,                0.82738,             4.4304e-05,             4.4304e-05,             4.4304e-05
                     67,                0.66158,                 1.1819,                0.80062,                 0.6987,                0.40385,                 0.6393,                0.48728,                 1.0796,                 4.9904,                0.83291,             4.1668e-05,             4.1668e-05,             4.1668e-05
                     68,                0.67503,                 1.1926,                0.80459,                0.44223,                0.47634,                 0.6378,                0.48894,                 1.0764,                 5.1465,                0.82856,             3.9032e-05,             3.9032e-05,             3.9032e-05
                     69,                0.67398,                 1.2055,                0.80033,                0.60191,                0.48098,                0.63428,                0.46952,                 1.0541,                 5.0172,                0.82549,             3.6396e-05,             3.6396e-05,             3.6396e-05
                     70,                0.65748,                  1.182,                0.80767,                0.45347,                0.47767,                0.64254,                0.48622,                 1.0867,                 5.0156,                0.82778,             3.3761e-05,             3.3761e-05,             3.3761e-05
                     71,                 0.7891,                 1.7158,                0.82067,                0.69162,                0.43594,                0.63074,                0.47114,                 0.9844,                 4.9169,                0.81905,             3.1125e-05,             3.1125e-05,             3.1125e-05
                     72,                0.71448,                 1.6028,                0.80624,                0.64974,                 0.4799,                0.63327,                 0.4605,                0.97448,                 4.9281,                0.81932,             2.8489e-05,             2.8489e-05,             2.8489e-05
                     73,                0.68461,                 1.5175,                0.80148,                0.43337,                0.52707,                0.58334,                0.44741,                0.97283,                 4.9568,                0.81971,             2.5853e-05,             2.5853e-05,             2.5853e-05
                     74,                0.67387,                 1.4838,                0.80613,                0.41299,                0.50312,                0.53437,                0.40552,                0.93448,                  4.751,                0.81687,             2.3217e-05,             2.3217e-05,             2.3217e-05
                     75,                0.66809,                 1.4583,                 0.7979,                0.62107,                0.48434,                0.58587,                 0.4445,                0.97768,                 4.7662,                0.81884,             2.0581e-05,             2.0581e-05,             2.0581e-05
                     76,                 0.6758,                 1.4728,                0.79466,                0.61253,                0.48172,                0.58261,                0.44113,                0.95664,                 4.8016,                 0.8176,             1.7945e-05,             1.7945e-05,             1.7945e-05
                     77,                0.70216,                 1.4699,                0.80279,                0.60713,                0.47819,                0.58558,                0.43612,                0.97495,                  4.832,                0.82056,             1.5309e-05,             1.5309e-05,             1.5309e-05
                     78,                0.66657,                 1.4219,                0.80278,                0.60682,                0.47822,                0.58761,                0.43652,                0.96607,                 4.8089,                0.81881,             1.2674e-05,             1.2674e-05,             1.2674e-05
                     79,                0.70059,                  1.518,                0.80006,                0.52329,                0.47912,                0.58681,                 0.4369,                0.96461,                 4.8121,                0.81707,             1.0038e-05,             1.0038e-05,             1.0038e-05
                     80,                0.65121,                 1.4026,                0.79552,                 0.5225,                0.48004,                0.58784,                0.43774,                0.96373,                 4.8288,                0.81724,             7.4018e-06,             7.4018e-06,             7.4018e-06
